Process Name,PID,DLLs
svchost.exe,3824,""
svchost.exe,3832,""
svchost.exe,3912,""
svchost.exe,3968,""
PowerToys.AlwaysOnTop.exe,4028,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; USER32.dll; win32u.dll; GDI32.dll; WINMM.dll; dbghelp.dll; ucrtbase.dll; gdi32full.dll,; msvcp_win.dll; combase.dll; RPCRT4.dll; ADVAPI32.dll; msvcrt.dll; OLEAUT32.dll; dwmapi.dll; sechost.dll; bcrypt.dll; SHELL32.dll; ole32.dll; shcore.dll; d2d1.dll; IMM32.DLL; kernel.appcore.dll; bcryptPrimitives.dll; windows.storage.dll; wintypes.dll; shlwapi.dll; clbcatq.dll; Windows.Web.dll; Windows.UI.dll; Windows.UI.Immersive.dll; twinapi.appcore.dll; twinapi.dll; uxtheme.dll; MSCTF.dll"
pservice.exe,4064,""
svchost.exe,4072,""
cmd.exe,4164,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; ucrtbase.dll; sechost.dll; bcrypt.dll; cmdext.dll; msvcrt.dll; SHELL32.dll; msvcp_win.dll,; USER32.dll; win32u.dll; GDI32.dll; gdi32full.dll; IMM32.DLL; combase.dll; RPCRT4.dll; bcryptPrimitives.dll; SHCORE.dll; shlwapi.dll; windows.storage.dll; wintypes.dll; kernel.appcore.dll; uxtheme.dll; ole32.dll; PROPSYS.dll; OLEAUT32.dll; clbcatq.dll; profapi.dll; CFGMGR32.dll; edputil.dll; urlmon.dll; srvcli.dll; iertutil.dll; netutils.dll; advapi32.dll; SspiCli.dll; virtdisk.dll; Wldp.dll; MPR.dll; pcacli.dll; sfc_os.dll; ServicingCommon.dll; SETUPAPI.dll"
svchost.exe,4188,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; ucrtbase.dll; combase.dll; RPCRT4.dll; kernel.appcore.dll; msvcrt.dll; bcryptPrimitives.dll,; user32.dll; win32u.dll; GDI32.dll; gdi32full.dll; msvcp_win.dll; IMM32.DLL; sechost.dll; bcrypt.dll; cdpusersvc.dll; OLEAUT32.dll; powrprof.dll; cfgmgr32.dll; cdp.dll; UMPDC.dll; iertutil.dll; advapi32.dll; netutils.dll; srvcli.dll; policymanager.dll; msvcp110_win.dll; gamestreamingext.dll; clbcatq.dll; OneCoreCommonProxyStub.dll; Windows.Security.Authentication.Web.Core.dll; wintypes.dll; usermgrcli.dll; vaultcli.dll; usermgrproxy.dll; SspiCli.dll; shcore.dll; CRYPT32.dll; MSASN1.dll; ncrypt.dll; NTASN1.dll; ncryptprov.dll; CRYPTBASE.dll; Windows.Networking.Connectivity.dll; wlanapi.dll; MobileNetworking.dll; WINHTTP.dll; WS2_32.dll; mswsock.dll; IPHLPAPI.DLL; WINNSI.DLL; NSI.dll; dhcpcsvc6.DLL; dhcpcsvc.DLL; winsqlite3.dll; DPAPI.DLL; Windows.Devices.Radios.dll; BthRadioMedia.dll; DEVOBJ.dll; WlanRadioManager.dll; USERENV.dll; profapi.dll; rmclient.dll; webio.dll; DNSAPI.dll; rasadhlp.dll; fwpuclnt.dll; schannel.DLL; ncryptsslp.dll; Windows.CloudStore.dll; AppExtension.dll; PROPSYS.dll"
svchost.exe,4212,""
